Arc Length	Equivalent Von Mises Stress
		0	 1.8319528503906e+05
 5.0000000000000e-02	 1.8272265804832e+05
 1.0000000000000e-01	 1.8225002308789e+05
 1.5000000000000e-01	 1.8177738645826e+05
 2.0000000000000e-01	 1.8128421876743e+05
 2.5000000000000e-01	 1.8030579975726e+05
 3.0000000000000e-01	 1.7932739495764e+05
 3.5000000000000e-01	 1.7834900436859e+05
 4.0000000000000e-01	 1.7737030786816e+05
 4.5000000000000e-01	 1.7638760555639e+05
 5.0000000000000e-01	 1.7540491374157e+05
 5.5000000000000e-01	 1.7442223242371e+05
 6.0000000000000e-01	 1.7343912207969e+05
 6.5000000000000e-01	 1.7245230873817e+05
 7.0000000000000e-01	 1.7146550255008e+05
 7.5000000000000e-01	 1.7047870351541e+05
 8.0000000000000e-01	 1.6949138729901e+05
 8.5000000000000e-01	 1.6850062352005e+05
 9.0000000000000e-01	 1.6750986421803e+05
 9.5000000000000e-01	 1.6651910939297e+05
		1	 1.6552776495078e+05
 1.0500000000000e+00	 1.6453311363754e+05
 1.1000000000000e+00	 1.6353846523134e+05
 1.1500000000000e+00	 1.6254381973217e+05
 1.2000000000000e+00	 1.6154854489704e+05
 1.2500000000000e+00	 1.6055015382170e+05
 1.3000000000000e+00	 1.5955176497720e+05
 1.3500000000000e+00	 1.5855337836356e+05
 1.4000000000000e+00	 1.5755435111068e+05
 1.4500000000000e+00	 1.5655244400805e+05
 1.5000000000000e+00	 1.5555053909488e+05
 1.5500000000000e+00	 1.5454863637116e+05
 1.6000000000000e+00	 1.5354600579896e+05
 1.6500000000000e+00	 1.5254036783857e+05
 1.7000000000000e+00	 1.5153473256281e+05
 1.7500000000000e+00	 1.5052909997167e+05
 1.8000000000000e+00	 1.4952278355735e+05
 1.8500000000000e+00	 1.4851388106955e+05
 1.9000000000000e+00	 1.4750498202850e+05
 1.9500000000000e+00	 1.4649608643419e+05
		2	 1.4548641748168e+05
 2.0500000000000e+00	 1.4447406939035e+05
 2.1000000000000e+00	 1.4346172516960e+05
 2.1500000000000e+00	 1.4244938481941e+05
 2.2000000000000e+00	 1.4143626951109e+05
 2.2500000000000e+00	 1.4042070512363e+05
 2.3000000000000e+00	 1.3940514446932e+05
 2.3500000000000e+00	 1.3838958754816e+05
 2.4000000000000e+00	 1.3737323059572e+05
 2.4500000000000e+00	 1.3635455482433e+05
 2.5000000000000e+00	 1.3533588183612e+05
 2.5500000000000e+00	 1.3431721163107e+05
 2.6000000000000e+00	 1.3329769431914e+05
 2.6500000000000e+00	 1.3227589855510e+05
 2.7000000000000e+00	 1.3125410448237e+05
 2.7500000000000e+00	 1.3023231210096e+05
 2.8000000000000e+00	 1.2920963327078e+05
 2.8500000000000e+00	 1.2818470963466e+05
 2.9000000000000e+00	 1.2715978674392e+05
 2.9500000000000e+00	 1.2613486459857e+05
		3	 1.2510901082869e+05
 3.0500000000000e+00	 1.2408090517394e+05
 3.1000000000000e+00	 1.2305279974583e+05
 3.1500000000000e+00	 1.2202469454439e+05
 3.2000000000000e+00	 1.2099562111168e+05
 3.2500000000000e+00	 1.1996429399370e+05
 3.3000000000000e+00	 1.1893296718347e+05
 3.3500000000000e+00	 1.1790164068102e+05
 3.4000000000000e+00	 1.1686929100876e+05
 3.4500000000000e+00	 1.1583470867479e+05
 3.5000000000000e+00	 1.1480012689258e+05
 3.5500000000000e+00	 1.1376554566214e+05
 3.6000000000000e+00	 1.1272978811602e+05
 3.6500000000000e+00	 1.1169180276436e+05
 3.7000000000000e+00	 1.1065381647674e+05
 3.7500000000000e+00	 1.0961582925316e+05
 3.8000000000000e+00	 1.0857640432317e+05
 3.8500000000000e+00	 1.0753475173778e+05
 3.9000000000000e+00	 1.0649308928903e+05
 3.9500000000000e+00	 1.0545141697690e+05
		4	 1.0440794953150e+05
 4.0500000000000e+00	 1.0336185122237e+05
 4.1000000000000e+00	 1.0231570860973e+05
 4.1500000000000e+00	 1.0126952169358e+05
 4.2000000000000e+00	 1.0022227474602e+05
 4.2500000000000e+00	 9.9173677812294e+04
 4.3000000000000e+00	 9.8124962397429e+04
 4.3500000000000e+00	 9.7076128501425e+04
 4.4000000000000e+00	 9.6024676289208e+04
 4.4500000000000e+00	 9.4963762683514e+04
 4.5000000000000e+00	 9.3902797476070e+04
 4.5500000000000e+00	 9.2842030845567e+04
 4.6000000000000e+00	 9.1780255197628e+04
 4.6500000000000e+00	 9.0711958957193e+04
 4.7000000000000e+00	 8.9643531121360e+04
 4.7500000000000e+00	 8.8574927763218e+04
 4.8000000000000e+00	 8.7506201762290e+04
 4.8500000000000e+00	 8.6462260358097e+04
 4.9000000000000e+00	 8.5422459515902e+04
 4.9500000000000e+00	 8.4383725047366e+04
		5	 8.3345977152574e+04
 5.0500000000000e+00	 8.2295551555235e+04
 5.1000000000000e+00	 8.1227022249151e+04
 5.1500000000000e+00	 8.0158321630026e+04
 5.2000000000000e+00	 7.9089428134698e+04
 5.2500000000000e+00	 7.8017072672646e+04
 5.3000000000000e+00	 7.6931359670698e+04
 5.3500000000000e+00	 7.5846427190545e+04
 5.4000000000000e+00	 7.4762950938900e+04
 5.4500000000000e+00	 7.3679660724856e+04
 5.5000000000000e+00	 7.2596163952010e+04
 5.5500000000000e+00	 7.1513167991921e+04
 5.6000000000000e+00	 7.0429467950356e+04
 5.6500000000000e+00	 6.9345516739914e+04
 5.7000000000000e+00	 6.8260175434838e+04
 5.7500000000000e+00	 6.7174837250058e+04
 5.8000000000000e+00	 6.6089502204682e+04
 5.8500000000000e+00	 6.5000215438390e+04
 5.9000000000000e+00	 6.3906136547027e+04
 5.9500000000000e+00	 6.2812057598972e+04
		6	 6.1717978594106e+04
 6.0500000000000e+00	 6.0619238318089e+04
 6.1000000000000e+00	 5.9516259810295e+04
 6.1500000000000e+00	 5.8414288569492e+04
 6.2000000000000e+00	 5.7311212950137e+04
 6.2500000000000e+00	 5.6203596535274e+04
 6.3000000000000e+00	 5.5092742425746e+04
 6.3500000000000e+00	 5.3982386915555e+04
 6.4000000000000e+00	 5.2871436433468e+04
 6.4500000000000e+00	 5.1755447587924e+04
 6.5000000000000e+00	 5.0637401659586e+04
 6.5500000000000e+00	 4.9519346449059e+04
 6.6000000000000e+00	 4.8401281956343e+04
 6.6500000000000e+00	 4.7276394027260e+04
 6.7000000000000e+00	 4.6149511621690e+04
 6.7500000000000e+00	 4.5022624730705e+04
 6.8000000000000e+00	 4.3895733354305e+04
 6.8500000000000e+00	 4.2763039966350e+04
 6.9000000000000e+00	 4.1628777526191e+04
 6.9500000000000e+00	 4.0494511717678e+04
		7	 3.9360242540812e+04
 7.0500000000000e+00	 3.8221038782438e+04
 7.1000000000000e+00	 3.7080519133014e+04
 7.1500000000000e+00	 3.5939995923842e+04
 7.2000000000000e+00	 3.4799469154922e+04
 7.2500000000000e+00	 3.3656580180916e+04
 7.3000000000000e+00	 3.2513125722035e+04
 7.3500000000000e+00	 3.1369665077579e+04
 7.4000000000000e+00	 3.0226198247548e+04
 7.4500000000000e+00	 2.9084968031818e+04
 7.5000000000000e+00	 2.7944366365651e+04
 7.5500000000000e+00	 2.6803748673455e+04
 7.6000000000000e+00	 2.5663114955231e+04
 7.6500000000000e+00	 2.4535362537876e+04
