Arc Length	Comp 11 of Stress
0	-3.2972574558105e+04
 5.0000000000000e-02	-3.2724650577897e+04
 1.0000000000000e-01	-3.2476726428495e+04
 1.5000000000000e-01	-3.2228805308768e+04
 2.0000000000000e-01	-3.1977656905241e+04
 2.5000000000000e-01	-3.1650068946488e+04
 3.0000000000000e-01	-3.1322485736391e+04
 3.5000000000000e-01	-3.0994907274953e+04
 4.0000000000000e-01	-3.0668142425223e+04
 4.5000000000000e-01	-3.0350976051090e+04
 5.0000000000000e-01	-3.0033812753616e+04
 5.5000000000000e-01	-2.9716652532802e+04
 6.0000000000000e-01	-2.9400602401945e+04
 6.5000000000000e-01	-2.9093625194772e+04
 7.0000000000000e-01	-2.8786649848547e+04
 7.5000000000000e-01	-2.8479676363271e+04
 8.0000000000000e-01	-2.8174038869096e+04
 8.5000000000000e-01	-2.7877036820072e+04
 9.0000000000000e-01	-2.7580035861076e+04
 9.5000000000000e-01	-2.7283035992110e+04
1	-2.6987534680504e+04
 1.0500000000000e+00	-2.6700292017194e+04
 1.1000000000000e+00	-2.6413050011528e+04
 1.1500000000000e+00	-2.6125808663504e+04
 1.2000000000000e+00	-2.5840189510810e+04
 1.2500000000000e+00	-2.5562522262328e+04
 1.3000000000000e+00	-2.5284855441254e+04
 1.3500000000000e+00	-2.5007189047587e+04
 1.4000000000000e+00	-2.4731246145384e+04
 1.4500000000000e+00	-2.4463000298103e+04
 1.5000000000000e+00	-2.4194754802650e+04
 1.5500000000000e+00	-2.3926509659024e+04
 1.6000000000000e+00	-2.3660063772298e+04
 1.6500000000000e+00	-2.3401024216588e+04
 1.7000000000000e+00	-2.3141984900084e+04
 1.7500000000000e+00	-2.2882945822784e+04
 1.8000000000000e+00	-2.2625821368656e+04
 1.8500000000000e+00	-2.2375912774094e+04
 1.9000000000000e+00	-2.2126004396345e+04
 1.9500000000000e+00	-2.1876096235408e+04
2	-2.1628201492319e+04
 2.0500000000000e+00	-2.1387256748666e+04
 2.1000000000000e+00	-2.1146312071090e+04
 2.1500000000000e+00	-2.0905367459590e+04
 2.2000000000000e+00	-2.0666566064509e+04
 2.2500000000000e+00	-2.0434514363591e+04
 2.3000000000000e+00	-2.0202462669895e+04
 2.3500000000000e+00	-1.9970410983420e+04
 2.4000000000000e+00	-1.9740630422287e+04
 2.4500000000000e+00	-1.9517409710339e+04
 2.5000000000000e+00	-1.9294188972538e+04
 2.5500000000000e+00	-1.9070968208886e+04
 2.6000000000000e+00	-1.8850129788620e+04
 2.6500000000000e+00	-1.8635683782994e+04
 2.7000000000000e+00	-1.8421237755256e+04
 2.7500000000000e+00	-1.8206791705405e+04
 2.8000000000000e+00	-1.7994823630085e+04
 2.8500000000000e+00	-1.7789121787110e+04
 2.9000000000000e+00	-1.7583419926724e+04
 2.9500000000000e+00	-1.7377718048929e+04
3	-1.7174573089049e+04
 3.0500000000000e+00	-1.6977604137718e+04
 3.1000000000000e+00	-1.6780635158869e+04
 3.1500000000000e+00	-1.6583666152501e+04
 3.2000000000000e+00	-1.6389315440191e+04
 3.2500000000000e+00	-1.6201072039117e+04
 3.3000000000000e+00	-1.6012828587425e+04
 3.3500000000000e+00	-1.5824585085115e+04
 3.4000000000000e+00	-1.5639002354108e+04
 3.4500000000000e+00	-1.5459476178694e+04
 3.5000000000000e+00	-1.5279950042504e+04
 3.5500000000000e+00	-1.5100423945537e+04
 3.6000000000000e+00	-1.4923590254875e+04
 3.6500000000000e+00	-1.4752810961445e+04
 3.7000000000000e+00	-1.4582031568984e+04
 3.7500000000000e+00	-1.4411252077492e+04
 3.8000000000000e+00	-1.4243182100293e+04
 3.8500000000000e+00	-1.4081215303031e+04
 3.9000000000000e+00	-1.3919247458716e+04
 3.9500000000000e+00	-1.3757278567347e+04
4	-1.3598034886241e+04
 4.0500000000000e+00	-1.3445052449775e+04
 4.1000000000000e+00	-1.3292068544672e+04
 4.1500000000000e+00	-1.3139083170934e+04
 4.2000000000000e+00	-1.2988814893440e+04
 4.2500000000000e+00	-1.2845228497001e+04
 4.3000000000000e+00	-1.2701636453395e+04
 4.3500000000000e+00	-1.2558038762621e+04
 4.4000000000000e+00	-1.2416961551056e+04
 4.4500000000000e+00	-1.2283825964086e+04
 4.5000000000000e+00	-1.2150678124545e+04
 4.5500000000000e+00	-1.2017548810632e+04
 4.6000000000000e+00	-1.1885440885966e+04
 4.6500000000000e+00	-1.1759984611706e+04
 4.7000000000000e+00	-1.1634535333776e+04
 4.7500000000000e+00	-1.1509087038765e+04
 4.8000000000000e+00	-1.1383645414803e+04
 4.8500000000000e+00	-1.1268015418969e+04
 4.9000000000000e+00	-1.1153759313852e+04
 4.9500000000000e+00	-1.1039671837095e+04
5	-1.0925740922976e+04
 5.0500000000000e+00	-1.0816687462332e+04
 5.1000000000000e+00	-1.0714294062172e+04
 5.1500000000000e+00	-1.0612383480164e+04
 5.2000000000000e+00	-1.0511016062184e+04
 5.2500000000000e+00	-1.0411646870079e+04
 5.3000000000000e+00	-1.0318483359544e+04
 5.3500000000000e+00	-1.0225392494392e+04
 5.4000000000000e+00	-1.0132430451778e+04
 5.4500000000000e+00	-1.0041749791109e+04
 5.5000000000000e+00	-9.9588227594123e+03
 5.5500000000000e+00	-9.8759054779616e+03
 5.6000000000000e+00	-9.7929058641815e+03
 5.6500000000000e+00	-9.7138688985866e+03
 5.7000000000000e+00	-9.6422930464708e+03
 5.7500000000000e+00	-9.5707185185118e+03
 5.8000000000000e+00	-9.4991453220562e+03
 5.8500000000000e+00	-9.4326775982506e+03
 5.9000000000000e+00	-9.3723962875593e+03
 5.9500000000000e+00	-9.3121153457751e+03
6	-9.2518347739861e+03
 6.0500000000000e+00	-9.1981099811732e+03
 6.1000000000000e+00	-9.1499134162732e+03
 6.1500000000000e+00	-9.1017589632505e+03
 6.2000000000000e+00	-9.0535542509141e+03
 6.2500000000000e+00	-9.0128350403583e+03
 6.3000000000000e+00	-8.9767987571146e+03
 6.3500000000000e+00	-8.9407765932333e+03
 6.4000000000000e+00	-8.9047332122603e+03
