Arc Length	Comp 22 of Stress
		0	-1.9744264533203e+05
 5.0000000000000e-02	-1.9687385333905e+05
 1.0000000000000e-01	-1.9630505269931e+05
 1.5000000000000e-01	-1.9573625096809e+05
 2.0000000000000e-01	-1.9514547432903e+05
 2.5000000000000e-01	-1.9403527349038e+05
 3.0000000000000e-01	-1.9292508952341e+05
 3.5000000000000e-01	-1.9181492242812e+05
 4.0000000000000e-01	-1.9070471563687e+05
 4.5000000000000e-01	-1.8959362632361e+05
 5.0000000000000e-01	-1.8848254927624e+05
 5.5000000000000e-01	-1.8737148449479e+05
 6.0000000000000e-01	-1.8626035814583e+05
 6.5000000000000e-01	-1.8514852411431e+05
 7.0000000000000e-01	-1.8403669830932e+05
 7.5000000000000e-01	-1.8292488073084e+05
 8.0000000000000e-01	-1.8181299461165e+05
 8.5000000000000e-01	-1.8070055701027e+05
 9.0000000000000e-01	-1.7958812448270e+05
 9.5000000000000e-01	-1.7847569702893e+05
		1	-1.7736318995044e+05
 1.0500000000000e+00	-1.7625018489588e+05
 1.1000000000000e+00	-1.7513718314791e+05
 1.1500000000000e+00	-1.7402418470655e+05
 1.2000000000000e+00	-1.7291111671753e+05
 1.2500000000000e+00	-1.7179767550335e+05
 1.3000000000000e+00	-1.7068423679422e+05
 1.3500000000000e+00	-1.6957080059012e+05
 1.4000000000000e+00	-1.6845732626159e+05
 1.4500000000000e+00	-1.6734366228158e+05
 1.5000000000000e+00	-1.6623000073352e+05
 1.5500000000000e+00	-1.6511634161741e+05
 1.6000000000000e+00	-1.6400259209008e+05
 1.6500000000000e+00	-1.6288845865345e+05
 1.7000000000000e+00	-1.6177432812741e+05
 1.7500000000000e+00	-1.6066020051195e+05
 1.8000000000000e+00	-1.5954607564905e+05
 1.8500000000000e+00	-1.5843195188280e+05
 1.9000000000000e+00	-1.5731783179265e+05
 1.9500000000000e+00	-1.5620371537861e+05
		2	-1.5508955689565e+05
 2.0500000000000e+00	-1.5397524323753e+05
 2.1000000000000e+00	-1.5286093371402e+05
 2.1500000000000e+00	-1.5174662832510e+05
 2.2000000000000e+00	-1.5063233553774e+05
 2.2500000000000e+00	-1.4951807337687e+05
 2.3000000000000e+00	-1.4840381508937e+05
 2.3500000000000e+00	-1.4728956067524e+05
 2.4000000000000e+00	-1.4617535077180e+05
 2.4500000000000e+00	-1.4506126113567e+05
 2.5000000000000e+00	-1.4394717441233e+05
 2.5500000000000e+00	-1.4283309060176e+05
 2.6000000000000e+00	-1.4171905553550e+05
 2.6500000000000e+00	-1.4060514554682e+05
 2.7000000000000e+00	-1.3949123734213e+05
 2.7500000000000e+00	-1.3837733092144e+05
 2.8000000000000e+00	-1.3726347859082e+05
 2.8500000000000e+00	-1.3614975967587e+05
 2.9000000000000e+00	-1.3503604155089e+05
 2.9500000000000e+00	-1.3392232421588e+05
		3	-1.3280865551996e+05
 3.0500000000000e+00	-1.3169510258761e+05
 3.1000000000000e+00	-1.3058154989687e+05
 3.1500000000000e+00	-1.2946799744773e+05
 3.2000000000000e+00	-1.2835448940433e+05
 3.2500000000000e+00	-1.2724108970406e+05
 3.3000000000000e+00	-1.2612769030139e+05
 3.3500000000000e+00	-1.2501429119631e+05
 3.4000000000000e+00	-1.2390090711483e+05
 3.4500000000000e+00	-1.2278765429366e+05
 3.5000000000000e+00	-1.2167440204720e+05
 3.5500000000000e+00	-1.2056115037544e+05
 3.6000000000000e+00	-1.1944777855463e+05
 3.6500000000000e+00	-1.1833455701875e+05
 3.7000000000000e+00	-1.1722133450127e+05
 3.7500000000000e+00	-1.1610811100218e+05
 3.8000000000000e+00	-1.1499451795505e+05
 3.8500000000000e+00	-1.1388111038511e+05
 3.9000000000000e+00	-1.1276769247337e+05
 3.9500000000000e+00	-1.1165426421980e+05
		4	-1.1054011958132e+05
 4.0500000000000e+00	-1.0942583255160e+05
 4.1000000000000e+00	-1.0831150043046e+05
 4.1500000000000e+00	-1.0719712321790e+05
 4.2000000000000e+00	-1.0608276890514e+05
 4.2500000000000e+00	-1.0496973598954e+05
 4.3000000000000e+00	-1.0385658187950e+05
