Arc Length	Equivalent Von Mises Stress
		0	 8.0808641437498e+05
 2.4000000000000e-01	 8.0538388936285e+05
 4.8000000000000e-01	 8.0073706957457e+05
 7.2000000000000e-01	 7.9608907978654e+05
 9.6000000000000e-01	 7.9143995865404e+05
 1.2000000000000e+00	 7.8678956834541e+05
 1.4400000000000e+00	 7.8213781810604e+05
 1.6800000000000e+00	 7.7748466024981e+05
 1.9200000000000e+00	 7.7283029900299e+05
 2.1600000000000e+00	 7.6817457281754e+05
 2.4000000000000e+00	 7.6351738055651e+05
 2.6400000000000e+00	 7.5885862913194e+05
 2.8800000000000e+00	 7.5419843216262e+05
 3.1200000000000e+00	 7.4953677549060e+05
 3.3600000000000e+00	 7.4487359072185e+05
 3.6000000000000e+00	 7.4020883439952e+05
 3.8400000000000e+00	 7.3554234776802e+05
 4.0800000000000e+00	 7.3087424456242e+05
 4.3200000000000e+00	 7.2620456796325e+05
 4.5600000000000e+00	 7.2153317657855e+05
 4.8000000000000e+00	 7.1686018547640e+05
 5.0400000000000e+00	 7.1218526482428e+05
 5.2800000000000e+00	 7.0750865762725e+05
 5.5200000000000e+00	 7.0283023110189e+05
 5.7600000000000e+00	 6.9815008380174e+05
		6	 6.9346819798418e+05
 6.2400000000000e+00	 6.8878425154100e+05
 6.4800000000000e+00	 6.8409840606338e+05
 6.7200000000000e+00	 6.7941074785126e+05
 6.9600000000000e+00	 6.7472125228287e+05
 7.2000000000000e+00	 6.7002990286254e+05
 7.4400000000000e+00	 6.6533627449129e+05
 7.6800000000000e+00	 6.6064081354644e+05
 7.9200000000000e+00	 6.5594335088223e+05
 8.1600000000000e+00	 6.5124396836095e+05
 8.4000000000000e+00	 6.4654253586542e+05
 8.6400000000000e+00	 6.4183893252974e+05
 8.8800000000000e+00	 6.3713324370842e+05
 9.1200000000000e+00	 6.3242555901602e+05
 9.3600000000000e+00	 6.2771574574124e+05
 9.6000000000000e+00	 6.2300398372798e+05
 9.8400000000000e+00	 6.1828975342083e+05
 1.0080000000000e+01	 6.1357349155889e+05
 1.0320000000000e+01	 6.0885509007672e+05
 1.0560000000000e+01	 6.0413456072486e+05
 1.0800000000000e+01	 5.9941185393677e+05
 1.1040000000000e+01	 5.9468675599328e+05
 1.1280000000000e+01	 5.8995947841549e+05
 1.1520000000000e+01	 5.8522998730787e+05
 1.1760000000000e+01	 5.8049833894128e+05
		12	 5.7576443453093e+05
 1.2240000000000e+01	 5.7102803634955e+05
 1.2480000000000e+01	 5.6628938212332e+05
 1.2720000000000e+01	 5.6154845820146e+05
 1.2960000000000e+01	 5.5680527450160e+05
 1.3200000000000e+01	 5.5205989540710e+05
 1.3440000000000e+01	 5.4731177975396e+05
 1.3680000000000e+01	 5.4256143086215e+05
 1.3920000000000e+01	 5.3780876288712e+05
 1.4160000000000e+01	 5.3305380628178e+05
 1.4400000000000e+01	 5.2829641245149e+05
 1.4640000000000e+01	 5.2353646693765e+05
 1.4880000000000e+01	 5.1877410080916e+05
 1.5120000000000e+01	 5.1400939000824e+05
 1.5360000000000e+01	 5.0924228089404e+05
 1.5600000000000e+01	 5.0447279104848e+05
 1.5840000000000e+01	 4.9970057824261e+05
 1.6080000000000e+01	 4.9492594475872e+05
 1.6320000000000e+01	 4.9014889346137e+05
 1.6560000000000e+01	 4.8536941622316e+05
 1.6800000000000e+01	 4.8058748298169e+05
 1.7040000000000e+01	 4.7580279390972e+05
 1.7280000000000e+01	 4.7101564804953e+05
 1.7520000000000e+01	 4.6622601590659e+05
 1.7760000000000e+01	 4.6143390124356e+05
		18	 4.5663932294636e+05
 1.8240000000000e+01	 4.5184195982948e+05
 1.8480000000000e+01	 4.4704204238035e+05
 1.8720000000000e+01	 4.4223963556775e+05
 1.8960000000000e+01	 4.3743474635818e+05
 1.9200000000000e+01	 4.3262737108152e+05
 1.9440000000000e+01	 4.2781706147598e+05
 1.9680000000000e+01	 4.2300427206838e+05
 1.9920000000000e+01	 4.1818898279817e+05
 2.0160000000000e+01	 4.1337115899973e+05
 2.0400000000000e+01	 4.0855078904588e+05
 2.0640000000000e+01	 4.0372759003459e+05
 2.0880000000000e+01	 3.9890182962973e+05
 2.1120000000000e+01	 3.9407357239046e+05
 2.1360000000000e+01	 3.8924277877850e+05
 2.1600000000000e+01	 3.8440949558814e+05
 2.1840000000000e+01	 3.7957330744381e+05
 2.2080000000000e+01	 3.7473463251577e+05
 2.2320000000000e+01	 3.6989347410435e+05
 2.2560000000000e+01	 3.6504982238584e+05
 2.2800000000000e+01	 3.6020367593078e+05
 2.3040000000000e+01	 3.5535473529551e+05
 2.3280000000000e+01	 3.5050333143269e+05
 2.3520000000000e+01	 3.4564951901453e+05
 2.3760000000000e+01	 3.4079324700202e+05
		24	 3.3593458713452e+05
 2.4240000000000e+01	 3.3107321243543e+05
 2.4480000000000e+01	 3.2620948877967e+05
 2.4720000000000e+01	 3.2134343933987e+05
 2.4960000000000e+01	 3.1647509333258e+05
 2.5200000000000e+01	 3.1160441799980e+05
 2.5440000000000e+01	 3.0673124940715e+05
 2.5680000000000e+01	 3.0185587205203e+05
 2.5920000000000e+01	 2.9697832876492e+05
 2.6160000000000e+01	 2.9209865084694e+05
 2.6400000000000e+01	 2.8721689429626e+05
 2.6640000000000e+01	 2.8233282080423e+05
 2.6880000000000e+01	 2.7744679869107e+05
 2.7120000000000e+01	 2.7255884291953e+05
 2.7360000000000e+01	 2.6766900342837e+05
 2.7600000000000e+01	 2.6277742447465e+05
 2.7840000000000e+01	 2.5788380209446e+05
 2.8080000000000e+01	 2.5298856016012e+05
 2.8320000000000e+01	 2.4809172042745e+05
 2.8560000000000e+01	 2.4319339752927e+05
 2.8800000000000e+01	 2.3829364245307e+05
 2.9040000000000e+01	 2.3339236819896e+05
 2.9280000000000e+01	 2.2848988582702e+05
 2.9520000000000e+01	 2.2358628429778e+05
 2.9760000000000e+01	 2.1868167317984e+05
		30	 2.1377613775957e+05
 3.0240000000000e+01	 2.0886972299002e+05
 3.0480000000000e+01	 2.0396269188733e+05
 3.0720000000000e+01	 1.9905515495354e+05
 3.0960000000000e+01	 1.9414726661900e+05
 3.1200000000000e+01	 1.8923916771374e+05
 3.1440000000000e+01	 1.8433105518385e+05
 3.1680000000000e+01	 1.7942312155778e+05
 3.1920000000000e+01	 1.7451554574627e+05
 3.2160000000000e+01	 1.6960854675826e+05
 3.2400000000000e+01	 1.6470233823341e+05
 3.2640000000000e+01	 1.5979733402672e+05
