Arc Length	Comp 11 of Stress
		0	-1.7633883484375e+05
 2.4000000000000e-01	-1.7560329260228e+05
 4.8000000000000e-01	-1.7444601328440e+05
 7.2000000000000e-01	-1.7329115377690e+05
 9.6000000000000e-01	-1.7213875885559e+05
 1.2000000000000e+00	-1.7098884050892e+05
 1.4400000000000e+00	-1.6984180600390e+05
 1.6800000000000e+00	-1.6869732612486e+05
 1.9200000000000e+00	-1.6755544945932e+05
 2.1600000000000e+00	-1.6641618415046e+05
 2.4000000000000e+00	-1.6527958828911e+05
 2.6400000000000e+00	-1.6414602307234e+05
 2.8800000000000e+00	-1.6301518115888e+05
 3.1200000000000e+00	-1.6188709452994e+05
 3.3600000000000e+00	-1.6076177738431e+05
 3.6000000000000e+00	-1.5963922798540e+05
 3.8400000000000e+00	-1.5851991657362e+05
 4.0800000000000e+00	-1.5740344866454e+05
 4.3200000000000e+00	-1.5628984623327e+05
 4.5600000000000e+00	-1.5517911905936e+05
 4.8000000000000e+00	-1.5407134026284e+05
 5.0400000000000e+00	-1.5296689844861e+05
 5.2800000000000e+00	-1.5186541674908e+05
 5.5200000000000e+00	-1.5076689998787e+05
 5.7600000000000e+00	-1.4967138955457e+05
		6	-1.4857889714314e+05
 6.2400000000000e+00	-1.4748987616196e+05
 6.4800000000000e+00	-1.4640389251826e+05
 6.7200000000000e+00	-1.4532098436110e+05
 6.9600000000000e+00	-1.4424117273218e+05
 7.2000000000000e+00	-1.4316446106920e+05
 7.4400000000000e+00	-1.4209130019063e+05
 7.6800000000000e+00	-1.4102127468425e+05
 7.9200000000000e+00	-1.3995439085206e+05
 8.1600000000000e+00	-1.3889066792992e+05
 8.4000000000000e+00	-1.3783012009146e+05
 8.6400000000000e+00	-1.3677321367720e+05
 8.8800000000000e+00	-1.3571948979124e+05
 9.1200000000000e+00	-1.3466898297719e+05
 9.3600000000000e+00	-1.3362168609695e+05
 9.6000000000000e+00	-1.3257761884701e+05
 9.8400000000000e+00	-1.3153724484549e+05
 1.0080000000000e+01	-1.3050013178978e+05
 1.0320000000000e+01	-1.2946626696999e+05
 1.0560000000000e+01	-1.2843566014495e+05
 1.0800000000000e+01	-1.2740832404935e+05
 1.1040000000000e+01	-1.2638473702841e+05
 1.1280000000000e+01	-1.2536443671738e+05
 1.1520000000000e+01	-1.2434742388248e+05
 1.1760000000000e+01	-1.2333369872864e+05
		12	-1.2232329078719e+05
 1.2240000000000e+01	-1.2131665340293e+05
 1.2480000000000e+01	-1.2031332787454e+05
 1.2720000000000e+01	-1.1931331752557e+05
 1.2960000000000e+01	-1.1831662612518e+05
 1.3200000000000e+01	-1.1732326756261e+05
 1.3440000000000e+01	-1.1633369666098e+05
 1.3680000000000e+01	-1.1534745899673e+05
 1.3920000000000e+01	-1.1436455256287e+05
 1.4160000000000e+01	-1.1338497703823e+05
 1.4400000000000e+01	-1.1240873425615e+05
 1.4640000000000e+01	-1.1143630456179e+05
 1.4880000000000e+01	-1.1046720257771e+05
 1.5120000000000e+01	-1.0950144418343e+05
 1.5360000000000e+01	-1.0853901110700e+05
 1.5600000000000e+01	-1.0757992509892e+05
 1.5840000000000e+01	-1.0662463925818e+05
 1.6080000000000e+01	-1.0567269239442e+05
 1.6320000000000e+01	-1.0472406523799e+05
 1.6560000000000e+01	-1.0377877111531e+05
 1.6800000000000e+01	-1.0283679742885e+05
 1.7040000000000e+01	-1.0189862309532e+05
 1.7280000000000e+01	-1.0096375933673e+05
 1.7520000000000e+01	-1.0003221099450e+05
 1.7760000000000e+01	-9.9103963428267e+04
		18	-9.8179030186881e+04
 1.8240000000000e+01	-9.7257860215610e+04
 1.8480000000000e+01	-9.6339969413032e+04
 1.8720000000000e+01	-9.5425361790193e+04
 1.8960000000000e+01	-9.4514031697170e+04
 1.9200000000000e+01	-9.3605979575733e+04
 1.9440000000000e+01	-9.2701626019109e+04
 1.9680000000000e+01	-9.1800524797906e+04
 1.9920000000000e+01	-9.0902655634060e+04
 2.0160000000000e+01	-9.0008016594121e+04
 2.0400000000000e+01	-8.9116588688141e+04
 2.0640000000000e+01	-8.8228815024643e+04
 2.0880000000000e+01	-8.7344215758101e+04
 2.1120000000000e+01	-8.6462789568743e+04
 2.1360000000000e+01	-8.5584509607525e+04
 2.1600000000000e+01	-8.4709379834799e+04
 2.1840000000000e+01	-8.3837799030064e+04
 2.2080000000000e+01	-8.2969314780762e+04
 2.2320000000000e+01	-8.2103903046881e+04
 2.2560000000000e+01	-8.1241551750855e+04
 2.2800000000000e+01	-8.0382249368795e+04
 2.3040000000000e+01	-7.9526358248886e+04
 2.3280000000000e+01	-7.8673458522607e+04
 2.3520000000000e+01	-7.7823510388484e+04
 2.3760000000000e+01	-7.6976493200806e+04
		24	-7.6132372538478e+04
 2.4240000000000e+01	-7.5291525043876e+04
 2.4480000000000e+01	-7.4453506441468e+04
 2.4720000000000e+01	-7.3618287696563e+04
 2.4960000000000e+01	-7.2785825380599e+04
 2.5200000000000e+01	-7.1956100835906e+04
 2.5440000000000e+01	-7.1129426003416e+04
 2.5680000000000e+01	-7.0305398837488e+04
 2.5920000000000e+01	-6.9483968624697e+04
 2.6160000000000e+01	-6.8665084600040e+04
 2.6400000000000e+01	-6.7848716220673e+04
 2.6640000000000e+01	-6.7035157929626e+04
 2.6880000000000e+01	-6.6223993706707e+04
 2.7120000000000e+01	-6.5415179805261e+04
 2.7360000000000e+01	-6.4608666722845e+04
 2.7600000000000e+01	-6.3804405331894e+04
 2.7840000000000e+01	-6.3002631029665e+04
 2.8080000000000e+01	-6.2202970066380e+04
 2.8320000000000e+01	-6.1405365714049e+04
 2.8560000000000e+01	-6.0609757473982e+04
 2.8800000000000e+01	-5.9816084111942e+04
 2.9040000000000e+01	-5.9024524341128e+04
 2.9280000000000e+01	-5.8234748522763e+04
 2.9520000000000e+01	-5.7446687650725e+04
 2.9760000000000e+01	-5.6660267506056e+04
		30	-5.5875417847619e+04
 3.0240000000000e+01	-5.5092264004175e+04
 3.0480000000000e+01	-5.4310512069033e+04
 3.0720000000000e+01	-5.3530083129383e+04
 3.0960000000000e+01	-5.2750901649116e+04
 3.1200000000000e+01	-5.1972890344922e+04
 3.1440000000000e+01	-5.1196101693101e+04
 3.1680000000000e+01	-5.0420299917883e+04
 3.1920000000000e+01	-4.9645401614605e+04
 3.2160000000000e+01	-4.8871317641968e+04
 3.2400000000000e+01	-4.8097973895897e+04
 3.2640000000000e+01	-4.7325353616246e+04
 3.2880000000000e+01	-4.6553280633658e+04
 3.3120000000000e+01	-4.5781660896732e+04
 3.3360000000000e+01	-4.5010416592236e+04
 3.3600000000000e+01	-4.4239458949804e+04
 3.3840000000000e+01	-4.3468723451265e+04
 3.4080000000000e+01	-4.2698082482640e+04
 3.4320000000000e+01	-4.1927455166731e+04
 3.4560000000000e+01	-4.1156762321191e+04
 3.4800000000000e+01	-4.0385910193345e+04
 3.5040000000000e+01	-3.9614789673357e+04
 3.5280000000000e+01	-3.8843332943092e+04
 3.5520000000000e+01	-3.8071465776143e+04
 3.5760000000000e+01	-3.7299113759940e+04
		36	-3.6526201741679e+04
 3.6240000000000e+01	-3.5752556792828e+04
