Arc Length	Comp 22 of Stress
		0	-8.8169457031248e+05
 2.4000000000000e-01	-8.7869724490328e+05
 4.8000000000000e-01	-8.7357935186957e+05
 7.2000000000000e-01	-8.6846104203188e+05
 9.6000000000000e-01	-8.6334239414266e+05
 1.2000000000000e+00	-8.5822338097236e+05
 1.4400000000000e+00	-8.5310374997114e+05
 1.6800000000000e+00	-8.4798361568887e+05
 1.9200000000000e+00	-8.4286303915939e+05
 2.1600000000000e+00	-8.3774196439338e+05
 2.4000000000000e+00	-8.3262037695596e+05
 2.6400000000000e+00	-8.2749800396411e+05
 2.8800000000000e+00	-8.2237517717357e+05
 3.1200000000000e+00	-8.1725171577255e+05
 3.3600000000000e+00	-8.1212767660769e+05
 3.6000000000000e+00	-8.0700290391971e+05
 3.8400000000000e+00	-8.0187747007213e+05
 4.0800000000000e+00	-7.9675136975857e+05
 4.3200000000000e+00	-7.9162453587902e+05
 4.5600000000000e+00	-7.8649696477957e+05
 4.8000000000000e+00	-7.8136872111246e+05
 5.0400000000000e+00	-7.7623962784369e+05
 5.2800000000000e+00	-7.7110976195024e+05
 5.5200000000000e+00	-7.6597909592562e+05
 5.7600000000000e+00	-7.6084762247044e+05
		6	-7.5571543157614e+05
 6.2400000000000e+00	-7.5058224753439e+05
 6.4800000000000e+00	-7.4544824592041e+05
 6.7200000000000e+00	-7.4031334377460e+05
 6.9600000000000e+00	-7.3517761889800e+05
 7.2000000000000e+00	-7.3004101543997e+05
 7.4400000000000e+00	-7.2490336895223e+05
 7.6800000000000e+00	-7.1976482815444e+05
 7.9200000000000e+00	-7.1462537084376e+05
 8.1600000000000e+00	-7.0948498621927e+05
 8.4000000000000e+00	-7.0434359384669e+05
 8.6400000000000e+00	-6.9920118472570e+05
 8.8800000000000e+00	-6.9405774619235e+05
 9.1200000000000e+00	-6.8891333331615e+05
 9.3600000000000e+00	-6.8376788559993e+05
 9.6000000000000e+00	-6.7862148113155e+05
 9.8400000000000e+00	-6.7347389989297e+05
 1.0080000000000e+01	-6.6832527045020e+05
 1.0320000000000e+01	-6.6317560272342e+05
 1.0560000000000e+01	-6.5802485689981e+05
 1.0800000000000e+01	-6.5287304182507e+05
 1.1040000000000e+01	-6.4771997513955e+05
 1.1280000000000e+01	-6.4256584199270e+05
 1.1520000000000e+01	-6.3741058943845e+05
 1.1760000000000e+01	-6.3225419219511e+05
		12	-6.2709668161951e+05
 1.2240000000000e+01	-6.2193786944582e+05
 1.2480000000000e+01	-6.1677787360077e+05
 1.2720000000000e+01	-6.1161668826527e+05
 1.2960000000000e+01	-6.0645440013024e+05
 1.3200000000000e+01	-6.0129086516853e+05
 1.3440000000000e+01	-5.9612599451594e+05
 1.3680000000000e+01	-5.9095990043199e+05
 1.3920000000000e+01	-5.8579253028953e+05
 1.4160000000000e+01	-5.8062401682858e+05
 1.4400000000000e+01	-5.7545416524179e+05
 1.4640000000000e+01	-5.7028289239161e+05
 1.4880000000000e+01	-5.6511034820777e+05
 1.5120000000000e+01	-5.5993656415891e+05
 1.5360000000000e+01	-5.5476143451054e+05
 1.5600000000000e+01	-5.4958501909998e+05
 1.5840000000000e+01	-5.4440708246540e+05
 1.6080000000000e+01	-5.3922782044809e+05
 1.6320000000000e+01	-5.3404717856567e+05
 1.6560000000000e+01	-5.2886522891803e+05
 1.6800000000000e+01	-5.2368184034957e+05
 1.7040000000000e+01	-5.1849696641241e+05
 1.7280000000000e+01	-5.1331065241880e+05
 1.7520000000000e+01	-5.0812293788655e+05
 1.7760000000000e+01	-5.0293378580651e+05
		18	-4.9774323106682e+05
 1.8240000000000e+01	-4.9255102847784e+05
 1.8480000000000e+01	-4.8735735652461e+05
 1.8720000000000e+01	-4.8216223214614e+05
 1.8960000000000e+01	-4.7696561472762e+05
 1.9200000000000e+01	-4.7176754089734e+05
 1.9440000000000e+01	-4.6656771128091e+05
 1.9680000000000e+01	-4.6136640778401e+05
 1.9920000000000e+01	-4.5616358165559e+05
 2.0160000000000e+01	-4.5095923862354e+05
